stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"8503334","Münsingen, Bächlen","46.8879389536951","7.57086646832058","",""
"8503340:0:1","Opfikon","47.4300143431537","8.56177110891224","","8503340P"
"8503340:0:2","Opfikon","47.4300751132738","8.56177110891224","","8503340P"
"8503340P","Opfikon","47.4299535729635","8.56177110891224","1",""
"8503348","Engelberg, Dorf","46.820412948742","8.40600323862423","",""
"8503349","Viry, église","46.1187347185743","6.03728956451678","",""
"8503350","Kindhausen ZH, Geeren","47.4082845286062","8.68363656037286","",""
"8503351","Bisikon, Dorf","47.4125217864622","8.6954134737493","",""
"8503353","Jona, Schönau","47.2402650380354","8.83080755339064","",""
"8503354","Kempraten, Belsito","47.2394660772174","8.8229472946535","",""
"8503355","Rüti ZH, Unterwiesstrasse","47.2556807925572","8.84577348602616","",""
"8503356","Hombrechtikon, Krone","47.2510650740041","8.76637139805178","",""
"8503358","Rüti ZH, Schützenhaus","47.2502540805813","8.84166818517716","",""
"8503359","Stäfa, Kehlhof","47.2341779946317","8.73624190341822","",""
"8503361","Stäfa, Laubisrüti","47.2386122126435","8.74783915373781","",""
"8503363","Uetikon am See, Kleindorf","47.2642892216198","8.68258553149029","",""
"8503364","Mönchaltorf, Langenmatt","47.3154475491343","8.72088969521048","",""
"8503365","Hinwil, Girenbad","47.3095275122281","8.87185157872778","",""
"8503366","Wernetshausen, Dorf","47.2991597597751","8.86706355826275","",""
"8503367","Laupen ZH, Hubwies","47.2663374801679","8.93172429242268","",""
"8503368","Rufi, Maseltrangen","47.1896566827709","9.0491879989905","",""
"8503369","Neuhaus SG, Post","47.2416982581655","8.94307001446269","",""
"8503370","Effretikon, Eselriet","47.4238215000378","8.7010638768872","",""
"8503371","Illnau, Löwen","47.4163332034833","8.71742219821329","",""
"8503372","Effretikon, Wattspitz","47.4271216042743","8.69411989973999","",""
"8503373","Weisslingen, Dorf","47.4315578824607","8.76361357012915","",""
"8503374","Grafstal, Unterdorf","47.4451803881751","8.70125252309689","",""
"8503375","Kyburg, Gemeindehaus","47.4571655187083","8.74449742088042","",""
"8503376","Ottikon b. Kemptthal","47.4353132339136","8.7169371079598","",""
"8503377","Lindau, Dorf","47.4414743464957","8.67149133772987","",""
"8503378","Tagelswangen, Dorf","47.4304032707099","8.67192252906631","",""
"8503380","Winterberg ZH, Dorf","47.4564062782486","8.69305988770458","",""
"8503381","Grafstal, Thalegg","47.4426469420161","8.70411814885363","",""
"8503382","Illnau, Weisslingerstrasse","47.4079319150273","8.72705213806039","",""
"8503383","Neuhaus SG, Lenzikon","47.2408566272135","8.93855148858294","",""
"8503384","Kaltbrunn, Steinenbrücke","47.2067532347126","9.03668345023381","",""
"8503385","Ricken SG, Hinterer Schümberg","47.260277819052","9.03279374505303","",""
"8503386","Goldingen, Wolfertingen","47.2636491245702","8.94962771603767","",""
"8503387","Hintergoldingen, Sonne","47.2880587724413","8.98393437674297","",""
"8503390","Wald ZH, Sonnenberg","47.2777233772294","8.92227401563242","",""
"8503391","Goldingen, Vordersagen","47.2771200105368","8.97546326361254","",""
"8503392","Gossau ZH, Mitteldorf","47.3073956493057","8.75927470730625","",""
"8503394","Siebnen, Zentralhof","47.1754918546195","8.89821713232036","",""
"8503396","Rüti ZH, Rekrutierungszentrum","47.2598815393846","8.84303362440921","",""
"8503398","Wernetshausen, Letten","47.2970396634149","8.86141315512486","",""
"8503400","Bülach","47.5239418174608","8.53618708961695","","8503400P"
"8503400:0:1","Bülach","47.5242451246851","8.53618708961695","","8503400P"
"8503400:0:2","Bülach","47.524002479046","8.53618708961695","","8503400P"
"8503400:0:3","Bülach","47.5243057859195","8.53618708961695","","8503400P"
"8503400:0:4","Bülach","47.524063140561","8.53618708961695","","8503400P"
"8503400:0:5","Bülach","47.5241238020058","8.53618708961695","","8503400P"
"8503400:0:6","Bülach","47.5241844633805","8.53618708961695","","8503400P"
"8503400P","Bülach","47.5239418174608","8.53618708961695","1",""
"8503401","Glattfelden","47.5485585906203","8.52403288382112","","8503401P"
"8503401:0:1","Glattfelden","47.5486192237333","8.52403288382112","","8503401P"
"8503401:0:2","Glattfelden","47.5486798567762","8.52403288382112","","8503401P"
"8503401P","Glattfelden","47.5485585906203","8.52403288382112","1",""
"8503402","Eglisau","47.5723759406461","8.51653195119768","","8503402P"
"8503402:0:1","Eglisau","47.5725577571003","8.51653195119768","","8503402P"
"8503402:0:2","Eglisau","47.572436546201","8.51653195119768","","8503402P"
"8503402:0:3","Eglisau","47.5724971516857","8.51653195119768","","8503402P"
"8503402P","Eglisau","47.5723759406461","8.51653195119768","1",""
"8503403","Hüntwangen-Wil","47.5812660259868","8.51282190907375","","8503403P"
"8503403:0:3","Hüntwangen-Wil","47.5813266212526","8.51282190907375","","8503403P"
"8503403:0:4","Hüntwangen-Wil","47.5813872164483","8.51282190907375","","8503403P"
"8503403P","Hüntwangen-Wil","47.5812660259868","8.51282190907375","1",""
"8503404","Rafz","47.6037905113569","8.54342751080796","","8503404P"
"8503404:0:3","Rafz","47.6038510805471","8.54342751080796","","8503404P"
"8503404:0:4","Rafz","47.6039116496673","8.54342751080796","","8503404P"
"8503404P","Rafz","47.6037905113569","8.54342751080796","1",""
"8503405","Zweidlen","47.5704425866399","8.46788817855584","",""
"8503408","Rekingen AG","47.5699698434529","8.32711319036187","","8503408P"
"8503408:0:6","Rekingen AG","47.5700910600615","8.32711319036187","","8503408P"
"8503408:0:7","Rekingen AG","47.5700304517922","8.32711319036187","","8503408P"
"8503408P","Rekingen AG","47.5699698434529","8.32711319036187","1",""
"8503409","Bad Zurzach","47.5883127851671","8.2955643575792","","8503409P"
"8503409:0:1","Bad Zurzach","47.5883733722763","8.2955643575792","","8503409P"
"8503409:0:2","Bad Zurzach","47.5884339593153","8.2955643575792","","8503409P"
"8503409P","Bad Zurzach","47.5883127851671","8.2955643575792","1",""
"8503410:0:1","Rietheim","47.6008104205891","8.27731059100335","",""
"8503411:0:1","Koblenz Dorf","47.6094473711106","8.24013830454131","",""
"8503413","Kaiserstuhl AG","47.5664483785178","8.41914559123273","",""
"8503413:0:1","Kaiserstuhl AG","47.5665089909323","8.41914559123273","",""
"8503414","Mellikon","47.5684849172288","8.35249958029462","",""
"8503414:0:1","Mellikon","47.5685455272866","8.35249958029462","",""
"8503415","Rümikon AG","47.5653815885436","8.37365490523858","",""
"8503415:0:1","Rümikon AG","47.5654422021925","8.37365490523858","",""
"8503418","Viry, P+R","46.1300227827185","6.03047135150937","",""
"8503419","Dardagny, Le Roulave","46.2013834636576","5.98133350546119","",""
"8503420","Lottstetten","47.625736193459","8.56680167450401","",""
"8503420:0:1","Lottstetten","47.6257967372348","8.56680167450401","",""
"8503421","Jestetten","47.6544018780055","8.57326954455057","","8503421P"
"8503421:0:1","Jestetten","47.6544623885712","8.57326954455057","","8503421P"
"8503421:0:2","Jestetten","47.6545834094923","8.57326954455057","","8503421P"
"8503421:0:3","Jestetten","47.6545228990668","8.57326954455057","","8503421P"
"8503421P","Jestetten","47.6544018780055","8.57326954455057","1",""
"8503423","Neuhausen","47.6831365032732","8.62491369024179","","8503423P"
"8503423:0:2","Neuhausen","47.6831969805338","8.62491369024179","","8503423P"
"8503423:0:3","Neuhausen","47.6832574577243","8.62491369024179","","8503423P"
"8503423P","Neuhausen","47.6831365032732","8.62491369024179","1",""
"8503424","Schaffhausen","47.6982838660644","8.63272903321472","","8503424P"
"8503424:0:1","Schaffhausen","47.6983443257622","8.63272903321472","","8503424P"
"8503424:0:1B","Schaffhausen","47.6990093778102","8.63272903321472","","8503424P"
"8503424:0:1CD","Schaffhausen","47.6987675416833","8.63272903321472","","8503424P"
"8503424:0:2","Schaffhausen","47.6985257044348","8.63272903321472","","8503424P"
"8503424:0:2B","Schaffhausen","47.6990698366666","8.63272903321472","","8503424P"
"8503424:0:2BC","Schaffhausen","47.6987070824763","8.63272903321472","","8503424P"
"8503424:0:2C","Schaffhausen","47.6989489188836","8.63272903321472","","8503424P"
"8503424:0:2CD","Schaffhausen","47.698888459887","8.63272903321472","","8503424P"
"8503424:0:3","Schaffhausen","47.6986466231993","8.63272903321472","","8503424P"
"8503424:0:3B","Schaffhausen","47.6991907541691","8.63272903321472","","8503424P"
"8503424:0:3C","Schaffhausen","47.6988280008202","8.63272903321472","","8503424P"
"8503424:0:4","Schaffhausen","47.6984047853898","8.63272903321472","","8503424P"
"8503424:0:4C","Schaffhausen","47.6991302954529","8.63272903321472","","8503424P"
"8503424:0:5","Schaffhausen","47.6984652449473","8.63272903321472","","8503424P"
