"_id","data__destination_station_id","data__departure_time","data__arrival_time"
"","838GA00065","16:30:00","16:38:00"
"","838GA00065","17:30:00","17:38:00"
"","838GA00065","18:30:00","18:38:00"
"","838GA00065","20:30:00","20:38:00"
"","838GA00065","10:30:00","10:38:00"
"","838GA00065","11:30:00","11:38:00"
"","838GA00065","12:30:00","12:38:00"
"","838GA00065","13:30:00","13:38:00"
"","838GA00065","14:30:00","14:38:00"
"","838GA00065","15:30:00","15:38:00"
"","838GA00065","16:30:00","16:38:00"
"","838GA00065","17:30:00","17:38:00"
"","838GA00065","19:30:00","19:38:00"
"","838GA00065","20:30:00","20:38:00"
"","838GA00065","21:30:00","21:38:00"
"","838GA00065","22:30:00","22:38:00"
"","838GA00065","10:30:00","10:38:00"
"","838GA00065","07:03:00","07:09:00"
"","838GA00065","07:33:00","07:39:00"
"","838GA00065","08:03:00","08:09:00"
"","838GA00065","08:33:00","08:39:00"
"","838GA00065","09:03:00","09:09:00"
"","838GA00065","09:33:00","09:39:00"
"","838GA00065","18:03:00","18:09:00"
"","838GA00065","18:33:00","18:39:00"
"","838GA00065","07:03:00","07:09:00"
"","838GA00065","07:33:00","07:39:00"
"","838GA00065","08:03:00","08:09:00"
"","838GA00065","08:33:00","08:39:00"
"","838GA00065","09:03:00","09:09:00"
"","838GA00065","09:33:00","09:39:00"
"","838GA00065","18:03:00","18:09:00"
"","838GA00065","18:33:00","18:39:00"
